id	adj.P.Val.SCoV.over.Mock	geneSymbol	logFC.SCoV.over.Mock	P.Value.SCoV.over.Mock	species
NP_006258.3	0.512921157	RANBP2	-0.212084572	0.416198347	HOMO SAPIENS
NP_001116835.1	0.019327528	RGPD6	1.551856187	0.005749216	HOMO SAPIENS
NP_872394.2	0.208155019	RGPD4	2.927692442	0.134279308	HOMO SAPIENS
NP_001071638.2	0.010021825	RGPD2	4.608478149	0.002223314	HOMO SAPIENS
NP_002323.2	0.000461904	LRP1	3.301891531	1.64E-05	HOMO SAPIENS
NP_002464.1	0.005337998	MYH9	1.473909137	0.000878121	HOMO SAPIENS
NP_001242941.1	0.492828063	MYH10	0.338560761	0.396393009	HOMO SAPIENS
NP_005955.3	0.626456669	MYH10	1.330476937	0.534969751	HOMO SAPIENS
NP_001070654.1	0.010669026	MYH14	1.226703996	0.002423549	HOMO SAPIENS
NP_060003.2	0.035547687	MYH4	0.93842204	0.013234667	HOMO SAPIENS
NP_002461.2	0.206684832	MYH3	1.565136269	0.13284726	HOMO SAPIENS
NP_005954.3	0.114446663	MYH1	2.511543658	0.062237424	HOMO SAPIENS
NP_001093582.1	0.013579301	MYH2	8.657457064	0.003428354	HOMO SAPIENS
NP_002462.2	0.002195999	MYH6	2.248698714	0.000221484	HOMO SAPIENS
NP_004095.4	0.000633615	FASN	-2.812965168	2.89E-05	HOMO SAPIENS
NP_065816.2	0.216690024	UBR4	-0.396054954	0.141511079	HOMO SAPIENS
NP_004406.2	0.028721575	DSP	-0.827597749	0.009880578	HOMO SAPIENS
NP_000375.2	0.000140232	APOB	-11.57599736	7.21E-07	HOMO SAPIENS
NP_001243000.2	0.538176298	RNF213	0.201808321	0.442585656	HOMO SAPIENS
NP_006827.1	0.012709733	GCN1	-1.116371726	0.003103189	HOMO SAPIENS
NP_113584.3	0.22390161	HUWE1	0.368938628	0.147387588	HOMO SAPIENS
NP_009055.2	0.093858188	UTRN	-0.618604184	0.047768644	HOMO SAPIENS
NP_000100.2	0.148841571	DMD	-1.834448192	0.087510372	HOMO SAPIENS
NP_004013.1	0.11598764	DMD	-2.971881655	0.063382439	HOMO SAPIENS
NP_004010.1	0.148493033	DMD	-4.11808769	0.087230847	HOMO SAPIENS
NP_006436.3	0.709577057	PRPF8	-0.128229018	0.628360406	HOMO SAPIENS
NP_054733.2	0.034346365	SNRNP200	-0.835355498	0.012593956	HOMO SAPIENS
NP_001166184.1	0.040218197	GOLGA4	-0.996899338	0.015680238	HOMO SAPIENS
NP_002069.2	0.003023695	GOLGA4	-3.298407004	0.000368992	HOMO SAPIENS
NP_001275582.1	0.044351292	CLTC	0.906341813	0.017872486	HOMO SAPIENS
NP_009029.3	0.036131957	CLTCL1	1.792741748	0.013533596	HOMO SAPIENS
NP_003283.2	0.04075121	TPR	0.847303647	0.015901006	HOMO SAPIENS
NP_001273490.1	0.038586634	NUMA1	0.841014151	0.01479577	HOMO SAPIENS
NP_003741.1	0.676261073	EIF3A	-0.132471323	0.589660645	HOMO SAPIENS
NP_065872.1	0.566366959	VPS13C	-0.176347934	0.471869077	HOMO SAPIENS
NP_055987.2	0.01023388	PRRC2C	-1.263634169	0.002293189	HOMO SAPIENS
NP_004629.3	0.52765444	PRRC2A	-0.218523254	0.431283818	HOMO SAPIENS
NP_037450.2	0.008690703	PRRC2B	-1.621450466	0.001814926	HOMO SAPIENS
NP_002408.3	0.000506826	MKI67	-4.321018321	1.92E-05	HOMO SAPIENS
NP_001139438.1	0.121831734	MKI67	-1.355314271	0.067810325	HOMO SAPIENS
NP_056197.3	0.001696126	HECTD1	-2.105439238	0.000147227	HOMO SAPIENS
NP_001231509.1	0.027519377	TRRAP	-1.002904201	0.009329488	HOMO SAPIENS
NP_003861.1	0.304085856	IQGAP1	0.330658992	0.21751742	HOMO SAPIENS
NP_006624.2	0.760018182	IQGAP2	0.099765281	0.685029166	HOMO SAPIENS
NP_839943.2	0.007290392	IQGAP3	-1.640558484	0.001403093	HOMO SAPIENS
NP_001350535.1	0.588630566	CHD4	0.19734098	0.494286346	HOMO SAPIENS
NP_001005271.2	0.045675128	CHD3	0.994718432	0.018572718	HOMO SAPIENS
NP_000867.2	0.106315338	IGF2R	-0.548545301	0.056427865	HOMO SAPIENS
NP_001278893.1	0.031963359	AFDN	0.923312776	0.011459664	HOMO SAPIENS
NP_001193937.1	0.309289353	AFDN	0.662641133	0.22262284	HOMO SAPIENS
NP_573566.2	0.001896463	LRPPRC	-1.89811158	0.000175695	HOMO SAPIENS
NP_683692.2	0.019302621	BOD1L1	1.123719796	0.005725951	HOMO SAPIENS
NP_612378.1	0.000369708	BOD1	-5.642899262	1.13E-05	HOMO SAPIENS
NP_002102.4	0.197156983	HTT	0.441511832	0.125373558	HOMO SAPIENS
NP_009131.2	0.080502404	AKAP13	0.615417772	0.038957991	HOMO SAPIENS
NP_001333695.1	0.330464628	MYO18A	-0.332283249	0.241695241	HOMO SAPIENS
NP_004437.2	0.321003911	EPRS	-0.314982718	0.233193696	HOMO SAPIENS
NP_006819.2	0.014828087	ASCC3	-1.058913462	0.003910265	HOMO SAPIENS
NP_001008938.1	0.012924886	CKAP5	-1.376924071	0.003182853	HOMO SAPIENS
NP_056110.2	0.149579462	SMCHD1	-0.498788588	0.088134515	HOMO SAPIENS
NP_003557.2	0.047160352	EEA1	0.760617719	0.019366048	HOMO SAPIENS
NP_001135452.1	0.014877968	TP53BP1	1.281490915	0.003936768	HOMO SAPIENS
NP_001059.2	0.021664517	TOP2B	1.069726572	0.006752859	HOMO SAPIENS
NP_001058.2	0.000150637	TOP2A	-6.05266395	1.08E-06	HOMO SAPIENS
NP_942133.1	0.051442797	ACACA	-0.908071111	0.021589447	HOMO SAPIENS
NP_001034679.2	0.010993745	USP9X	1.557189993	0.002532695	HOMO SAPIENS
NP_004645.2	0.820994851	USP9Y	0.369143195	0.759098014	HOMO SAPIENS
NP_055995.4	0.141361321	SYNE2	0.590408879	0.081998571	HOMO SAPIENS
NP_892006.3	0.015295212	SYNE1	1.535749748	0.004094561	HOMO SAPIENS
NP_001180298.1	0.745124248	DIDO1	-0.125991967	0.668610291	HOMO SAPIENS
NP_001277188.1	0.719823104	PHF3	-0.109171115	0.640127464	HOMO SAPIENS
NP_002017.1	0.004114055	FN1	-1.672130963	0.000595554	HOMO SAPIENS
NP_997647.1	0.747653602	FN1	-0.713085047	0.671359633	HOMO SAPIENS
NP_056121.2	0.785565007	USP24	-0.094460276	0.716229359	HOMO SAPIENS
NP_001073867.1	0.018820108	ECPAS	-0.98800136	0.005532378	HOMO SAPIENS
NP_000055.2	0.046538726	C3	0.753515981	0.019064057	HOMO SAPIENS
NP_009057.1	0.082436668	VCP	0.742805646	0.040255218	HOMO SAPIENS
NP_006787.2	0.482616538	AFG3L2	-0.243041842	0.385485334	HOMO SAPIENS
NP_000457.1	0.010053651	PEX1	-1.634129983	0.002233202	HOMO SAPIENS
NP_002524.2	0.780372152	NVL	-0.095009987	0.710283963	HOMO SAPIENS
NP_000278.3	0.13301201	PEX6	0.673057414	0.075987785	HOMO SAPIENS
NP_000928.1	0.9007599	POLR2A	-0.046011432	0.863351561	HOMO SAPIENS
NP_001186308.1	0.051442797	GBF1	-0.734140135	0.021585852	HOMO SAPIENS
NP_004915.2	0.013847798	ACTN4	1.061412939	0.003540957	HOMO SAPIENS
NP_001308962.1	0.139122022	ACTN4	1.572754808	0.080265635	HOMO SAPIENS
NP_001093.1	0.012383095	ACTN1	1.343071906	0.002987269	HOMO SAPIENS
NP_001265272.1	0.003747296	ACTN2	6.644756194	0.000509627	HOMO SAPIENS
NP_001095.2	0.517003888	ACTN3	0.378557628	0.420549347	HOMO SAPIENS
NP_064505.1	0.031992935	UGGT1	-0.843098116	0.011479028	HOMO SAPIENS
NP_064506.3	0.0776952	UGGT2	-0.739553429	0.03735128	HOMO SAPIENS
NP_057368.3	0.063630634	CNOT1	-0.692259809	0.028719741	HOMO SAPIENS
NP_001072989.1	0.008528408	KTN1	1.620109917	0.001764879	HOMO SAPIENS
NP_004230.2	0.471211892	TRIP11	0.291687158	0.374440556	HOMO SAPIENS
NP_004362.2	0.299082027	COPA	-0.375715144	0.213173745	HOMO SAPIENS
NP_062535.2	0.018610695	YLPM1	1.012313236	0.005447654	HOMO SAPIENS
NP_001164100.1	0.259142137	CHD8	-0.355489222	0.176877044	HOMO SAPIENS
NP_060250.2	0.293196144	CHD7	-0.439947509	0.207667221	HOMO SAPIENS
NP_115597.3	0.256199843	CHD6	0.463947294	0.174424483	HOMO SAPIENS
NP_001295248.1	0.218985632	CHD9	-0.732304009	0.143302012	HOMO SAPIENS
NP_002473.2	0.092720271	NASP	0.596372633	0.04702871	HOMO SAPIENS
NP_689511.2	0.048778033	NASP	1.075100739	0.02019952	HOMO SAPIENS
NP_940953.2	0.051552797	MIA3	-0.778508464	0.021650576	HOMO SAPIENS
NP_006297.2	0.0528516	SMC1A	-0.694727415	0.022421891	HOMO SAPIENS
NP_001181875.1	0.002298174	EIF4G1	-2.062890751	0.00023997	HOMO SAPIENS
NP_937887.1	0.081273981	EIF4G1	3.558147328	0.039427821	HOMO SAPIENS
NP_937885.1	0.07263186	EIF4G1	4.074489084	0.034042041	HOMO SAPIENS
NP_001185730.1	0.869334738	EIF4G3	-0.060794621	0.82188474	HOMO SAPIENS
NP_056083.3	0.065014761	DNAJC13	-0.677544935	0.029587769	HOMO SAPIENS
NP_003364.1	0.838844696	VCL	0.067577305	0.78134448	HOMO SAPIENS
NP_005551.3	0.67295723	LAMA5	0.1877164	0.586104225	HOMO SAPIENS
NP_937762.2	0.247547379	LAMA3	-0.977291559	0.166748782	HOMO SAPIENS
NP_056069.2	0.004125091	KIF13B	1.857406411	0.000598432	HOMO SAPIENS
NP_055889.2	0.036685753	KIF1B	0.85962469	0.013809059	HOMO SAPIENS
NP_006603.2	0.052431019	KIF1C	0.852937948	0.022138179	HOMO SAPIENS
NP_078980.3	0.960293249	KIF16B	-0.073189287	0.943289152	HOMO SAPIENS
NP_001186795.1	0.308464078	KIF16B	-1.917818959	0.221803578	HOMO SAPIENS
NP_904325.2	0.011005285	KIF1B	-1.76275652	0.002537806	HOMO SAPIENS
NP_001099038.1	0.52765444	KIF13A	-1.011856239	0.431282416	HOMO SAPIENS
NP_071396.4	0.138166122	KIF13A	-4.415396666	0.079562803	HOMO SAPIENS
NP_065810.2	0.389594096	STARD9	0.847817301	0.296676118	HOMO SAPIENS
NP_006608.1	0.012809391	NES	1.253585751	0.003131029	HOMO SAPIENS
NP_001305253.1	0.603259619	NUP214	-0.159590132	0.510425033	HOMO SAPIENS
NP_005076.3	0.005467865	NUP214	-2.331552869	0.000909814	HOMO SAPIENS
NP_006302.2	0.927268281	NCOR1	0.03251973	0.897391893	HOMO SAPIENS
NP_001070729.2	0.001850802	NCOR2	2.905456283	0.000169099	HOMO SAPIENS
NP_001025226.1	0.07939524	ARHGAP5	-0.618927614	0.038299724	HOMO SAPIENS
NP_852118.1	0.002666343	GCC2	1.725551883	0.000301697	HOMO SAPIENS
NP_055681.1	0.942331498	SEC16A	-0.026425469	0.917474452	HOMO SAPIENS
NP_001263347.1	0.601508408	SEC16A	0.441876193	0.508174683	HOMO SAPIENS
NP_055816.2	0.31869376	SPEN	0.372474332	0.231171777	HOMO SAPIENS
NP_203754.2	0.145360937	TNKS1BP1	0.545638284	0.084860219	HOMO SAPIENS
NP_001307684.1	0.001664137	SUPT6H	-2.146563235	0.000142125	HOMO SAPIENS
NP_000005.2	0.000250124	A2M	-8.169424619	4.73E-06	HOMO SAPIENS
NP_002855.2	0.322827114	PZP	-2.397398461	0.234901219	HOMO SAPIENS
NP_597677.2	0.490058763	NIPBL	0.245618833	0.393353118	HOMO SAPIENS
NP_056199.2	0.005423127	NIPBL	1.737789301	0.000897551	HOMO SAPIENS
NP_006411.2	0.475925157	ARFGEF2	0.241955698	0.379011226	HOMO SAPIENS
NP_006412.2	0.001745745	ARFGEF1	2.228753455	0.000155199	HOMO SAPIENS
NP_001339579.1	0.006720292	PCM1	-1.470293705	0.001237819	HOMO SAPIENS
NP_001302436.1	0.412374157	PCM1	-1.76774069	0.317184833	HOMO SAPIENS
NP_001952.1	0.003196982	EEF2	-1.882575266	0.0004019	HOMO SAPIENS
NP_001245282.1	0.093504269	EFTUD2	0.557393316	0.047528777	HOMO SAPIENS
NP_004136.2	0.015295941	MYO9B	1.297736142	0.004097798	HOMO SAPIENS
NP_004332.2	0.029660836	CAD	-0.923495389	0.010320108	HOMO SAPIENS
NP_055456.2	0.245997921	MDC1	-0.376884815	0.165353309	HOMO SAPIENS
NP_057427.3	0.000750137	CENPF	-3.898103934	3.97E-05	HOMO SAPIENS
NP_060621.3	0.000738864	RIF1	-3.709066936	3.83E-05	HOMO SAPIENS
NP_005436.1	0.084850052	SMC3	-0.6697437	0.041834572	HOMO SAPIENS
NP_002366.2	0.123382559	MAP4	0.512717791	0.068911418	HOMO SAPIENS
NP_004516.2	0.000751378	LRP2	-2.821597022	4.03E-05	HOMO SAPIENS
NP_036565.2	0.801951848	SF3B1	0.088864057	0.735063105	HOMO SAPIENS
NP_001609.2	0.105145107	PARP1	-0.593747417	0.055509246	HOMO SAPIENS
NP_004990.3	0.006614006	MYO6	1.5447305	0.001214017	HOMO SAPIENS
NP_065741.3	0.080923533	ANKHD1-EIF4EBP3	-0.660547037	0.039191335	HOMO SAPIENS
NP_060217.1	0.142556209	ANKHD1	1.211436059	0.082806473	HOMO SAPIENS
NP_056389.1	0.00484216	ANKRD17	-1.920376109	0.00076614	HOMO SAPIENS
NP_078944.2	0.076374441	ANKHD1	-3.135271415	0.036415479	HOMO SAPIENS
NP_000042.3	0.663317551	ATM	0.137402758	0.575589627	HOMO SAPIENS
NP_001124295.1	0.000371273	DNMT1	-3.964665103	1.14E-05	HOMO SAPIENS
NP_001305659.1	0.008795398	DNMT1	-4.401471712	0.001854552	HOMO SAPIENS
NP_055872.4	0.043394156	MYCBP2	-0.736607816	0.017363999	HOMO SAPIENS
NP_055950.1	0.199277322	NUP205	-0.412395742	0.127043461	HOMO SAPIENS
NP_003473.3	0.634841791	KMT2D	-0.159969997	0.543984551	HOMO SAPIENS
NP_733751.2	0.149069281	KMT2C	0.560493604	0.087746239	HOMO SAPIENS
NP_060473.2	0.000125536	UACA	15.18875817	3.11E-07	HOMO SAPIENS
NP_004512.1	0.329970355	KIF5B	-0.308398166	0.241303622	HOMO SAPIENS
NP_004513.1	0.143470076	KIF5C	0.845103192	0.083507546	HOMO SAPIENS
NP_002145.3	0.484160313	HSPA4	-0.269612416	0.387116132	HOMO SAPIENS
NP_001336633.1	0.049156208	HSPH1	-1.586387682	0.020414453	HOMO SAPIENS
NP_001273432.1	0.341847005	HSPH1	-1.806293928	0.251361763	HOMO SAPIENS
NP_055093.2	0.988047978	HSPA4L	0.017210165	0.982588348	HOMO SAPIENS
NP_001304312.1	0.261086618	HSPA4L	2.330460266	0.178537874	HOMO SAPIENS
NP_005886.2	0.910781243	GOLGA3	-0.037125138	0.876531346	HOMO SAPIENS
NP_001002800.1	0.01260489	SMC4	-1.307431255	0.003063784	HOMO SAPIENS
NP_004841.2	0.16394979	ROCK2	-0.463830381	0.099258758	HOMO SAPIENS
NP_005397.1	0.020857383	ROCK1	0.932236437	0.006406088	HOMO SAPIENS
NP_001014972.1	0.097849622	ZNF638	0.717698695	0.050452037	HOMO SAPIENS
NP_001269802.1	0.788237178	UBR5	0.084896139	0.719241244	HOMO SAPIENS
NP_001511.2	0.027569878	GTF3C1	-0.875017439	0.009358559	HOMO SAPIENS
NP_001317168.1	0.072260253	TJP1	0.67474748	0.033834894	HOMO SAPIENS
NP_006717.2	0.89458522	LRBA	0.047605453	0.855269916	HOMO SAPIENS
NP_065821.1	0.000577324	CGN	3.095115677	2.43E-05	HOMO SAPIENS
NP_002284.3	0.009032494	LAMC1	-1.304033412	0.001925052	HOMO SAPIENS
NP_055873.1	0.060360768	VWA8	-0.777486706	0.026692666	HOMO SAPIENS
NP_001177765.1	0.073692568	DCTN1	0.59799099	0.034687164	HOMO SAPIENS
NP_000911.2	0.322988821	PC	0.37100338	0.235077844	HOMO SAPIENS
NP_066997.3	0.685111299	CCAR2	0.141493208	0.60006645	HOMO SAPIENS
NP_001349997.1	0.06341602	CCAR2	4.456181016	0.028592233	HOMO SAPIENS
NP_001166934.1	0.904931939	KIF21A	0.040448664	0.868506693	HOMO SAPIENS
NP_001239031.1	0.000493695	KIF21B	2.87214013	1.85E-05	HOMO SAPIENS
NP_940927.2	0.013529661	KIF7	-1.581777963	0.003402174	HOMO SAPIENS
NP_060046.1	0.706771471	KIF27	-0.274990339	0.624862889	HOMO SAPIENS
NP_001348.2	0.290179506	DHX9	0.371659462	0.20497437	HOMO SAPIENS
NP_001307894.1	0.009247823	HDLBP	-1.354319689	0.001993788	HOMO SAPIENS
NP_001036041.1	0.00761048	RRBP1	-1.54444082	0.00149695	HOMO SAPIENS
NP_065972.3	0.005901963	NIN	-7.155594758	0.001031941	HOMO SAPIENS
NP_001337228.1	0.968439886	EPB41L2	-0.014324557	0.954167612	HOMO SAPIENS
NP_001337230.1	0.464968549	EPB41L2	-0.739284143	0.368206201	HOMO SAPIENS
NP_001337236.1	0.458850227	EPB41L2	1.026132082	0.362355984	HOMO SAPIENS
NP_001337249.1	0.225381761	EPB41L2	-3.368560424	0.148629356	HOMO SAPIENS
NP_001245260.1	0.00222701	EPB41L1	4.439788969	0.000225831	HOMO SAPIENS
NP_001245258.1	0.295428659	EPB41L1	1.479869325	0.209731277	HOMO SAPIENS
NP_001268463.1	0.425618805	EPB41L3	0.895877623	0.329664218	HOMO SAPIENS
NP_002152.2	0.013304824	IARS	-1.123494786	0.003324992	HOMO SAPIENS
NP_057404.2	0.297788364	NUP98	0.329034421	0.211952689	HOMO SAPIENS
NP_006286.1	0.005315787	VARS	-1.567038368	0.000872379	HOMO SAPIENS
NP_079350.5	0.000549137	FRAS1	3.66308079	2.28E-05	HOMO SAPIENS
NP_001293009.1	0.169603273	LMO7	-0.438183666	0.103579363	HOMO SAPIENS
NP_005349.3	0.273607251	LMO7	-0.709744203	0.189722005	HOMO SAPIENS
NP_004949.1	0.533372482	MTOR	0.200159565	0.437710112	HOMO SAPIENS
NP_001258898.1	0.052926017	HSP90AB1	-0.9050322	0.022472785	HOMO SAPIENS
NP_003290.1	0.147493763	HSP90B1	-0.503339235	0.086455362	HOMO SAPIENS
NP_001017963.2	0.12546357	HSP90AA1	-0.727231566	0.070484509	HOMO SAPIENS
NP_057376.2	0.09647627	TRAP1	-0.773330138	0.049531374	HOMO SAPIENS
NP_005210.3	0.128014849	DIAPH1	-0.490344999	0.07242894	HOMO SAPIENS
NP_057336.3	0.04520562	BIRC6	-0.837045395	0.018299281	HOMO SAPIENS
NP_003631.2	0.019754939	ELP1	1.070037112	0.005952086	HOMO SAPIENS
NP_001317678.1	0.051552797	ELP1	2.802276069	0.021654433	HOMO SAPIENS
NP_620305.2	0.702079857	SON	0.128434451	0.619286212	HOMO SAPIENS
NP_115571.2	0.146713285	SON	1.381471957	0.08594431	HOMO SAPIENS
NP_001278340.1	0.017841014	SON	3.2824686	0.00512465	HOMO SAPIENS
NP_057417.3	0.326153981	SRRM2	-0.342360486	0.237828054	HOMO SAPIENS
NP_001914.3	0.005961826	DDB1	-1.449996566	0.00104751	HOMO SAPIENS
NP_005723.2	0.032336136	RAD50	0.830560748	0.011635111	HOMO SAPIENS
NP_001335248.1	0.025390795	TRIP12	-0.937118162	0.00841493	HOMO SAPIENS
NP_001335250.1	0.185076235	TRIP12	1.121963961	0.115664201	HOMO SAPIENS
NP_001271143.1	0.286619422	TRIP12	1.13393408	0.201648641	HOMO SAPIENS
NP_001036015.1	0.012667638	SMC2	-1.205465476	0.003084817	HOMO SAPIENS
NP_001102.3	0.074696339	ADAR	0.63336487	0.035364176	HOMO SAPIENS
NP_056656.2	0.006283327	ADAR	5.155115626	0.001132056	HOMO SAPIENS
NP_054878.5	0.452516409	SETD2	-0.356116088	0.35557811	HOMO SAPIENS
NP_057688.2	0.004933981	KDM3B	1.455511242	0.000785852	HOMO SAPIENS
NP_001140160.1	0.000409155	KDM3A	3.470136239	1.39E-05	HOMO SAPIENS
NP_002282.2	0.000626594	LAMB1	-3.964961315	2.75E-05	HOMO SAPIENS
NP_036333.2	0.898239348	GLG1	-0.050023691	0.859869868	HOMO SAPIENS
NP_055912.2	0.678186353	CLASP2	-0.148052968	0.591896486	HOMO SAPIENS
NP_001193980.1	0.093858188	CLASP1	-1.662114023	0.047758342	HOMO SAPIENS
NP_056097.1	0.01026396	CLASP1	-3.030376453	0.002306487	HOMO SAPIENS
NP_001193973.1	0.784358774	CLASP2	0.096441325	0.714843224	HOMO SAPIENS
NP_002947.1	0.002288081	CLIP1	2.236031874	0.000237503	HOMO SAPIENS
NP_937883.1	0.07349341	CLIP1	2.551567021	0.034553172	HOMO SAPIENS
NP_115797.1	0.002137931	CLIP2	3.640083519	0.0002127	HOMO SAPIENS
NP_003379.3	0.009698799	CLIP2	5.10202022	0.002130797	HOMO SAPIENS
NP_060918.2	0.423221722	CAND1	-0.265734393	0.327305372	HOMO SAPIENS
NP_001316603.1	0.065122073	CAND1	3.719841226	0.029648494	HOMO SAPIENS
NP_001155971.1	0.06015179	CAND2	-0.857704304	0.02656759	HOMO SAPIENS
NP_002902.2	0.615767147	UPF1	-0.150174129	0.523652632	HOMO SAPIENS
NP_001124000.1	0.029815199	SPAG9	0.949496077	0.010406473	HOMO SAPIENS
NP_003962.3	0.021984043	SPAG9	2.657331037	0.006878133	HOMO SAPIENS
NP_001035529.1	0.001395852	MAPK8IP3	6.385062784	0.000107275	HOMO SAPIENS
NP_056988.3	0.018509446	EIF5B	-1.253456826	0.005404501	HOMO SAPIENS
NP_001596.2	0.014279316	AARS	-1.287251655	0.003700162	HOMO SAPIENS
NP_036442.3	0.041975868	KIF4A	-0.947052914	0.016635562	HOMO SAPIENS
NP_001287720.1	0.252991633	KIF3A	0.363995067	0.171778456	HOMO SAPIENS
NP_001004060.1	0.020564821	NOMO2	-0.973906639	0.00627869	HOMO SAPIENS
NP_055102.3	0.642519117	NOMO1	-0.364292163	0.552967575	HOMO SAPIENS
NP_938149.2	0.958798145	GANAB	0.022510197	0.941504473	HOMO SAPIENS
NP_938148.1	0.025708255	GANAB	-3.635510998	0.00854682	HOMO SAPIENS
NP_001074010.2	0.010852304	MGA	-1.85030689	0.002487234	HOMO SAPIENS
NP_001287789.1	0.743494218	DDX46	0.102403891	0.666494537	HOMO SAPIENS
NP_055644.2	0.10487959	DDX46	1.771587405	0.055292489	HOMO SAPIENS
NP_055205.2	0.014877968	SND1	-1.085125791	0.003936562	HOMO SAPIENS
NP_055791.1	0.003884843	PDCD11	-1.528872965	0.000542229	HOMO SAPIENS
NP_001258928.1	0.173955284	DOCK7	-0.442736938	0.106951697	HOMO SAPIENS
NP_212132.2	0.369893905	DOCK7	1.20524687	0.278331996	HOMO SAPIENS
NP_065863.2	0.208155019	DOCK6	0.472105943	0.134343204	HOMO SAPIENS
NP_001177387.1	0.006347657	DOCK8	2.269682044	0.001150407	HOMO SAPIENS
NP_001032412.2	0.00777059	HELZ2	1.484254619	0.001544756	HOMO SAPIENS
NP_004658.3	0.020397846	HERC2	-1.199952729	0.006207231	HOMO SAPIENS
NP_003461.2	0.886996199	USP7	-0.046303493	0.845544752	HOMO SAPIENS
NP_001138678.1	0.946292644	KIAA1671	0.025987294	0.922540319	HOMO SAPIENS
NP_001137533.1	0.375131757	COPB1	0.34864108	0.283540168	HOMO SAPIENS
NP_002262.3	0.055708346	IPO5	-0.807291805	0.02404325	HOMO SAPIENS
NP_036548.1	0.065319164	RANBP6	0.759956867	0.029762073	HOMO SAPIENS
NP_003325.2	0.158297338	UBA1	0.548330652	0.095030343	HOMO SAPIENS
NP_060542.4	0.008313744	HEATR1	-1.281491956	0.001702056	HOMO SAPIENS
NP_055318.2	0.012429075	UTP20	-1.789935458	0.003002899	HOMO SAPIENS
NP_036387.2	0.158652858	XRN2	-0.481277639	0.095356797	HOMO SAPIENS
NP_036533.2	0.027860785	PLXNB2	0.881593961	0.009480194	HOMO SAPIENS
NP_001035907.1	0.034703503	CAST	0.789269914	0.012754286	HOMO SAPIENS
NP_055847.1	0.985138165	PDS5B	0.007243603	0.978574173	HOMO SAPIENS
NP_001093869.1	0.217772396	PDS5A	0.441202737	0.14237894	HOMO SAPIENS
NP_001310911.1	0.006564206	CTNNA1	1.464563658	0.00120188	HOMO SAPIENS
NP_037423.2	0.647070553	CPSF1	-0.157530065	0.558065869	HOMO SAPIENS
NP_004482.4	0.051984481	ARHGAP35	-0.852281669	0.021883208	HOMO SAPIENS
NP_060024.2	0.019616187	PARP14	0.978593366	0.005888795	HOMO SAPIENS
NP_055928.3	0.514693012	ZZEF1	-0.210099383	0.418340751	HOMO SAPIENS
NP_057212.1	0.579197918	COPG1	0.198924986	0.484930102	HOMO SAPIENS
NP_036265.3	0.038832388	COPG2	0.968341394	0.01492899	HOMO SAPIENS
NP_001106849.1	0.006140796	FANCI	-1.427217569	0.001094088	HOMO SAPIENS
